org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
le,4,5,8,2,3,1,1,6,3,1,2,2
les,4,5,8,2,3,1,1,6,3,1,2,2
light-emitting,2,1,3,0,1,0,0,3,2,1,1,0
line,2,1,3,0,1,0,0,3,2,1,1,0
mAh,7,5,3,1,4,1,1,2,4,2,1,4
mass-produce,2,1,3,0,1,0,0,3,2,1,1,0
next,2,1,3,0,1,0,0,3,2,1,1,0
nits,7,5,3,1,4,1,1,2,4,2,1,4
o1,0,0,1,0,0,0,0,1,0,0,0,0
of,6,6,11,2,4,1,1,9,5,2,3,2
on,21,29,18,6,13,1,1,21,8,13,6,2
open.,2,1,3,0,1,0,0,3,2,1,1,0
par,4,5,8,2,3,1,1,6,3,1,2,2
plateforme,4,5,8,2,3,1,1,6,3,1,2,2
plus,4,5,8,2,3,1,1,6,3,1,2,2
possibility,2,1,3,0,1,0,0,3,2,1,1,0
product,4,5,8,2,3,1,1,6,3,1,2,2
produits,4,5,8,2,3,1,1,6,3,1,2,2
quarter,2,1,3,0,1,0,0,3,2,1,1,0
re,4,5,8,2,3,1,1,6,3,1,2,2
sRGB,6,5,4,1,4,0,1,4,3,3,3,7
said,2,1,3,0,1,0,0,3,2,1,1,0
second,2,1,3,0,1,0,0,3,2,1,1,0
simple,4,5,8,2,3,1,1,6,3,1,2,2
so,2,1,3,0,1,0,0,3,2,1,1,0
structure,4,5,8,2,3,1,1,6,3,1,2,2
sur,4,5,8,2,3,1,1,6,3,1,2,2
that,2,1,3,0,1,0,0,3,2,1,1,0
the,6,6,11,2,4,1,1,9,5,2,3,2
this,2,1,3,0,1,0,0,3,2,1,1,0
to,8,7,14,2,5,1,1,10,7,3,4,2
un,4,5,8,2,3,1,1,6,3,1,2,2
une,4,5,8,2,3,1,1,6,3,1,2,2
valeur,4,5,8,2,3,1,1,6,3,1,2,2
where,4,5,8,2,3,1,1,6,3,1,2,2
with,6,6,11,2,4,1,1,9,5,2,3,2
won,2,1,3,0,1,0,0,3,2,1,1,0
x2,4,3,5,1,3,0,1,4,2,4,4,3
가격,18,12,8,8,6,21,6,10,10,13,14,8
가격에,8,13,2,0,2,0,0,11,2,10,0,10
가격으로,8,13,2,0,2,0,0,11,2,10,0,10
가격은,3,4,2,5,0,1,1,1,6,2,2,1
가격인상,4,2,2,3,1,10,2,2,3,3,1,2
가공,6,10,6,4,6,1,1,6,3,8,1,5
가구장,1,1,0,0,0,0,0,2,0,0,0,4
가구장을,1,1,0,0,0,0,0,2,0,0,0,4
가능성도,10,8,7,3,7,5,2,9,3,6,2,1
가능하다.,17,12,8,2,7,0,2,9,7,8,6,12
가능한,5,6,4,0,3,1,1,3,2,2,2,7
가동,6,4,2,3,4,1,2,4,4,8,2,1
가동률,5,2,3,4,4,5,2,3,1,4,2,0
가드닝,6,4,4,2,5,0,1,6,1,5,4,2
가민,6,6,6,2,5,1,1,5,7,2,1,1
가민의,6,6,6,2,5,1,1,5,7,2,1,1
가시화,5,3,1,4,0,5,2,2,1,5,0,1
가운데,10,11,10,6,5,6,2,11,3,4,3,4
가을,0,0,0,0,2,0,0,0,0,0,0,0
가장,26,19,14,13,18,12,19,17,12,18,9,8
가전,13,11,10,4,7,5,6,10,7,7,3,12
가정용,18,14,8,0,6,0,0,9,4,10,2,8
각각,6,4,4,2,5,0,1,6,1,5,4,2
감광성,6,4,3,0,1,3,0,5,1,4,1,2
감독은,2,2,0,1,2,0,1,1,1,1,0,1
감소,5,3,4,4,4,6,2,2,2,4,3,1
감지,2,1,2,2,1,1,1,1,3,0,0,1
강기정,1,1,1,1,0,1,2,3,0,0,1,0
강남역,6,5,4,1,4,4,8,5,0,5,0,0
강력한,16,14,12,2,10,2,3,9,8,8,7,14
강연,4,6,4,3,3,3,4,8,0,0,2,1
강조했습니다.,3,5,3,1,3,2,2,6,0,0,1,1
강화,6,10,6,4,6,1,1,6,3,8,1,5
강화했다.,3,2,1,1,0,0,1,2,1,0,2,2
갖는,4,2,2,3,1,10,2,2,3,3,1,2
갖춘,10,8,9,2,7,0,2,8,5,7,7,10
갖춰,4,7,1,0,1,0,0,6,1,5,0,5
갖췄다.,6,5,4,1,4,0,1,4,3,3,3,7
같은,35,15,24,12,15,10,3,13,18,16,13,6
개발,20,20,10,5,11,8,3,15,6,12,4,6
개발을,3,5,3,1,3,2,2,6,0,0,1,1
개선을,18,10,11,7,6,11,25,11,2,12,5,1
개의,5,3,4,3,7,1,2,4,2,3,3,3
개최했다고,6,4,4,2,5,0,1,6,1,5,4,2
갤럭시,13,14,7,6,5,13,5,13,7,9,8,8
갤럭시Z,7,5,3,1,4,1,1,2,4,2,1,4
갤럭시워치,6,5,4,1,4,4,8,5,0,5,0,0
거점,2,3,3,4,0,2,0,5,1,2,3,3
건강,2,1,2,2,1,1,1,1,3,0,0,1
건조,7,8,5,0,2,0,0,7,0,2,0,8
건조기,3,3,2,0,1,0,0,3,0,1,0,3
검사,6,7,2,3,2,0,1,5,2,6,2,1
검색,6,6,4,3,3,6,2,4,2,5,1,0
검은사막,1,1,2,0,6,0,0,1,1,0,1,1
검출,6,7,2,3,2,0,1,5,2,6,2,1
것으로,135,109,91,67,56,82,44,100,65,113,55,30
것을,6,5,4,1,4,4,8,5,0,5,0,0
것이다.,4,1,3,3,2,3,0,3,1,2,4,3
것이라는,9,5,7,6,2,5,1,7,3,3,3,6
것이란,6,4,2,3,4,1,2,4,4,8,2,1
게이밍,15,14,13,2,10,1,3,11,7,9,9,17
게임,17,9,14,7,25,2,5,13,8,9,11,10
게임으로,5,3,4,3,7,1,2,4,2,3,3,3
게임을,0,0,0,0,2,0,0,0,0,0,0,0
결과,4,2,2,7,1,1,2,2,2,2,1,0
결국,11,9,7,5,5,5,3,9,2,5,5,2
경기,7,8,8,2,4,1,3,6,4,4,2,4
경기장,5,6,8,1,2,1,2,5,3,3,2,3
경기장의,5,6,8,1,2,1,2,5,3,3,2,3
경량화,5,6,2,2,1,1,1,3,1,5,1,1
경영권,9,5,4,3,4,9,2,5,5,5,8,5
경우,7,4,3,6,1,6,3,3,4,5,0,2
경쟁력을,9,5,4,3,4,9,2,5,5,5,8,5
경쟁이,5,4,1,1,2,3,0,4,1,9,2,0
경쟁형,4,3,5,1,3,0,1,4,2,4,4,3
경제적,4,1,1,1,0,2,10,2,2,1,0,1
경험을,8,11,11,2,5,3,4,11,3,3,3,4
계속,3,1,2,1,0,2,10,1,0,1,1,0
계약,11,8,3,3,3,6,1,6,2,16,4,0
계약은,6,4,2,2,1,3,1,2,1,7,2,0
계약을,9,4,5,4,2,4,4,2,5,8,4,0
계열사,8,6,6,4,4,7,16,9,0,6,1,0
계열사별,1,1,1,2,0,1,2,2,0,0,1,0
계열사에,3,0,3,2,1,1,3,0,4,1,2,0
계획을,6,4,2,3,4,1,2,4,4,8,2,1
계획이다.,6,4,4,2,5,0,1,6,1,5,4,2
고감도,6,7,2,3,2,0,1,5,2,6,2,1
고객,10,6,4,3,4,9,2,7,5,5,8,9
고객사,8,8,4,6,2,3,1,8,2,8,2,1
고객사가,15,23,7,4,9,0,0,12,3,11,3,0
고명암비,5,6,8,1,2,1,2,5,3,3,2,3
고부가가치,3,6,3,3,1,4,2,7,2,3,0,2
고성능,11,10,7,0,4,4,1,8,3,6,3,9
고출력,26,19,11,0,9,0,0,12,7,15,3,11
고해상도,12,11,5,3,3,3,1,10,3,10,3,3
고효율,7,7,9,3,3,2,4,7,4,3,2,6
고휘도,5,6,8,1,2,1,2,5,3,3,2,3
곡면,5,6,8,1,2,1,2,5,3,3,2,3
골든,6,4,4,2,5,0,1,6,1,5,4,2
공간의,1,1,0,0,0,0,0,2,0,0,0,4
공공기관의,4,7,1,0,1,0,0,6,1,5,0,5
공급,28,24,8,7,10,14,6,17,9,34,6,5
공급망,13,14,11,8,9,6,4,14,12,8,3,4
공급사들의,4,2,2,3,1,10,2,2,3,3,1,2
공급키로,5,4,1,1,2,3,0,4,1,9,2,0
공급하는,15,23,7,4,9,0,0,12,3,11,3,0
공급하며,5,6,8,1,2,1,2,5,3,3,2,3
공급한다.,10,11,2,0,3,2,0,8,2,14,1,5
공모,3,0,1,2,0,1,0,2,1,0,1,4
공식,6,4,4,2,5,0,1,6,1,5,4,2
공약,2,1,1,2,1,1,2,2,1,0,0,3
공장에,6,4,2,3,4,1,2,4,4,8,2,1
공장은,2,3,3,4,0,2,0,5,1,2,3,3
공정,6,4,3,0,1,3,0,5,1,4,1,2
공정하게,4,1,1,1,0,2,10,2,2,1,0,1
공정한,4,1,1,1,0,2,10,2,2,1,0,1
과잉에,1,1,0,0,0,0,1,0,0,2,1,0
과정에서,6,7,2,3,2,0,1,5,2,6,2,1
과정을,3,5,3,1,3,2,2,6,0,0,1,1
관계자는,14,13,13,6,4,4,0,11,7,12,17,5
관련,32,27,19,36,13,27,17,22,15,28,6,8
관련기사,8,4,4,4,2,3,1,3,2,5,4,1
관리,5,6,8,1,2,1,2,5,3,3,2,3
관리하는,4,1,7,2,3,0,0,2,3,0,1,0
관세,6,3,6,7,5,7,2,9,5,3,5,5
관심이,8,4,4,4,2,3,1,3,2,5,4,1
관측이다.,2,2,3,4,3,4,2,6,4,1,1,2
광고,11,12,12,4,5,7,4,9,5,8,3,3
광원,26,19,11,0,9,0,0,12,7,15,3,11
광저우무역관,6,10,6,4,6,1,1,6,3,8,1,5
광학,21,33,13,8,15,1,1,18,6,19,4,5
교수는,3,5,3,1,3,2,2,6,0,0,1,1
교육,4,7,1,0,1,0,0,6,1,5,0,5
교체했다.,1,3,0,0,0,0,1,1,0,1,0,1
구간에,4,3,3,4,1,19,3,6,2,5,0,2
구글,4,3,3,2,7,1,0,3,0,2,0,0
구동,6,5,3,1,4,0,0,2,1,7,2,0
구동칩,5,6,3,2,4,3,2,6,1,4,1,1
구매와,1,1,0,0,0,0,0,2,0,0,0,4
구매할,4,7,1,0,1,0,0,6,1,5,0,5
구속,1,3,0,0,0,0,1,1,0,1,0,1
구원투수,8,4,4,4,2,3,1,3,2,5,4,1
구주매출,6,4,6,7,2,5,0,8,2,4,7,6
구창환,3,2,2,6,1,1,2,2,2,3,1,0
