org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
XG27ACDMS,1,1,1,1,0,1,1,0,0,0
XG27AQDPG는,4,8,4,3,1,2,3,0,2,3
XG32UCWG,1,1,1,1,0,1,1,0,0,0
XTs,1,2,3,3,0,1,1,4,6,5
YTN,0,2,0,0,2,0,1,1,2,2
a-Si,8,0,8,3,2,4,5,3,3,2
advertisement,7,4,7,6,7,4,7,6,8,8
ams,30,5,15,12,9,11,8,10,12,14
ams오스람은,8,2,4,3,1,2,2,2,3,4
and,3,4,2,1,5,3,8,3,3,7
as,3,4,2,1,5,3,8,3,3,7
avec,3,4,2,1,5,3,8,3,3,7
bas,3,4,2,1,5,3,8,3,3,7
by,4,0,3,4,2,3,4,2,5,5
compenses,3,4,2,1,5,3,8,3,3,7
consommateurs,3,4,2,1,5,3,8,3,3,7
consommation,3,4,2,1,5,3,8,3,3,7
consumers,3,4,2,1,5,3,8,3,3,7
consumption,3,4,2,1,5,3,8,3,3,7
de,3,4,2,1,5,3,8,3,3,7
des,3,4,2,1,5,3,8,3,3,7
design,1,0,0,0,1,0,3,0,1,1
email,0,0,0,1,4,0,2,0,1,1
en,3,4,2,1,5,3,8,3,3,7
est,3,4,2,1,5,3,8,3,3,7
et,3,4,2,1,5,3,8,3,3,7
e스포츠,4,8,4,3,1,2,3,0,2,3
for,3,4,2,1,5,3,8,3,3,7
iLED,10,2,10,10,6,12,16,6,8,4
in,4,5,2,1,8,5,11,3,5,8
is,3,4,2,1,5,3,8,3,3,7
its,3,4,2,1,5,3,8,3,3,7
la,3,4,2,1,5,3,8,3,3,7
le,3,4,2,1,5,3,8,3,3,7
les,3,4,2,1,5,3,8,3,3,7
mAh,4,2,3,4,0,3,2,0,4,6
news1.kr,0,0,0,30,5,0,0,0,5,5
nits,4,2,3,4,0,3,2,0,4,6
of,4,5,2,1,5,3,10,3,3,7
okjebo,0,0,0,10,6,0,2,0,1,1
on,12,10,11,10,10,13,18,4,12,14
par,3,4,2,1,5,3,8,3,3,7
perplexity,4,0,3,4,2,3,4,2,5,5
plateforme,3,4,2,1,5,3,8,3,3,7
plus,3,4,2,1,5,3,8,3,3,7
product,3,4,2,1,5,3,8,3,3,7
produits,3,4,2,1,5,3,8,3,3,7
protected,0,0,0,1,4,0,2,0,1,1
re,3,4,2,1,5,3,8,3,3,7
sRGB,3,8,3,3,1,2,3,2,2,3
simple,3,4,2,1,5,3,8,3,3,7
structure,3,4,2,1,5,3,8,3,3,7
sur,3,4,2,1,5,3,8,3,3,7
the,3,4,2,1,5,3,8,3,3,7
to,3,4,2,1,5,3,8,3,3,7
un,3,4,2,1,5,3,8,3,3,7
une,3,4,2,1,5,3,8,3,3,7
valeur,3,4,2,1,5,3,8,3,3,7
where,3,4,2,1,5,3,8,3,3,7
with,3,4,2,1,5,3,8,3,3,7
x2,4,8,4,3,1,2,3,0,2,3
가격,21,17,26,19,18,21,22,28,34,32
가격에,4,10,8,4,5,2,3,2,2,2
가격으로,5,10,10,5,5,2,3,4,6,5
가공,6,5,7,3,6,3,5,7,8,9
가깝다.,1,0,4,3,0,0,3,1,3,2
가능성도,6,2,4,4,5,4,7,5,7,4
가능성을,9,2,9,4,4,6,7,7,8,6
가능성이,4,1,5,3,4,3,4,5,8,10
가능하다.,10,9,6,6,3,5,5,5,5,6
가능한,6,2,6,5,8,7,10,8,10,9
가드닝,5,4,5,5,6,5,6,3,5,4
가운데,7,11,6,8,4,6,10,6,14,14
가입되어,1,2,2,2,3,1,2,4,5,2
가장,14,12,16,18,10,15,18,17,25,26
가전,5,1,4,3,4,1,6,3,5,7
가정용,23,5,12,9,6,7,6,7,9,11
가치,1,0,2,1,0,0,0,2,4,3
각각,18,7,18,11,14,15,17,17,19,12
각국,5,0,5,3,5,4,5,5,7,10
각종,1,2,2,2,3,1,2,4,5,2
갈아타기,1,0,4,3,0,0,3,1,3,2
감소,2,0,7,3,1,2,5,1,8,4
강력한,8,10,7,7,1,5,5,0,6,9
강민호,0,0,0,12,2,0,0,0,2,2
강조했다.,2,3,0,3,3,2,2,3,4,4
강화,6,5,7,3,6,3,5,7,8,9
강화로,1,2,3,3,0,1,1,4,6,5
갖춘,7,16,7,6,2,4,6,2,4,6
갖춰,2,5,4,2,3,1,2,1,1,1
갖췄다.,3,8,3,3,1,2,3,2,2,3
같은,16,7,17,13,3,13,20,12,22,19
개발,16,7,13,9,6,12,14,11,15,15
개발했다.,4,0,3,2,2,1,4,4,2,2
개선을,4,0,5,4,1,6,5,1,7,3
개의,4,15,4,7,3,8,7,5,10,9
개최를,5,1,2,2,6,2,4,3,4,3
개최했다고,5,4,5,5,6,5,6,3,5,4
갤럭시,38,28,38,35,42,41,39,52,75,94
갤럭시Z,4,2,3,4,0,3,2,0,4,6
갤럭시링이,1,0,1,2,2,2,3,4,4,8
갤럭시워치,8,5,7,5,7,10,7,10,10,9
갤럭시의,1,1,0,1,2,2,1,0,5,8
거래,4,5,4,2,2,2,3,6,9,10
거래량은,3,5,2,1,2,2,3,4,5,7
거래소,3,5,2,1,2,2,3,4,5,7
거래에서는,1,0,2,1,0,0,0,2,4,3
거래일,9,2,9,4,4,6,7,7,8,6
검사,7,0,9,6,5,6,11,6,8,4
검사장비,4,0,3,2,2,1,4,4,2,2
검색,4,2,5,4,4,3,7,7,7,4
검색해,0,2,0,0,2,0,1,1,2,2
검증,1,2,1,1,5,3,5,2,3,2
것도,1,1,0,1,2,2,1,0,5,8
것으로,121,34,127,83,73,84,113,109,137,127
것은,0,1,1,2,2,4,0,2,3,3
것이라는,1,0,0,1,2,0,4,3,2,2
것이란,3,0,4,3,2,3,5,4,5,3
게이밍,7,16,7,6,2,4,6,2,4,6
게임,14,26,15,14,10,16,16,12,19,15
게임으로,2,7,3,4,1,4,4,3,4,4
겨냥한,4,1,5,3,4,3,4,5,8,10
겪고,1,2,0,0,1,1,0,3,1,2
결과,1,2,2,2,3,1,2,4,5,2
결국,6,3,5,7,4,8,7,4,11,7
결정,1,2,3,3,0,1,1,4,6,5
결정전,0,0,0,4,3,0,1,1,1,1
결합해,7,1,4,3,3,3,2,3,3,3
경기,5,1,4,38,16,2,8,5,11,13
경기가,0,0,0,10,9,0,3,1,1,1
경기는,0,0,0,4,3,0,1,1,1,1
경기도,4,0,3,4,2,3,4,2,5,5
경기를,0,0,0,5,2,0,1,0,1,1
경기에,0,0,0,5,2,0,1,0,1,1
경기에서,0,0,0,1,4,0,2,0,1,1
경기장,5,1,4,3,4,1,6,3,5,7
경기장의,5,1,4,3,4,1,6,3,5,7
경량화,6,0,4,4,5,7,3,7,4,3
경영,5,0,4,3,5,6,8,4,5,7
경영권,1,0,2,1,0,0,0,2,4,3
경영권을,4,0,3,2,2,1,4,4,2,2
경영에,4,1,5,4,2,5,4,5,4,3
경우,0,0,0,4,3,0,1,1,1,1
경우에는,0,0,0,4,3,0,1,1,1,1
경쟁,8,0,10,9,7,10,15,7,12,9
경쟁력을,3,0,5,4,4,8,4,5,4,2
경쟁이,7,0,9,2,2,2,4,5,3,2
경쟁형,4,8,4,3,1,2,3,0,2,3
경제,6,1,2,3,8,2,8,6,6,5
경제가,1,0,0,1,2,0,4,3,2,2
경제계,10,0,9,6,10,7,9,9,13,20
경제시장을,1,0,0,1,2,0,4,3,2,2
경제의,1,0,0,1,2,0,4,3,2,2
경험,1,3,0,1,4,3,1,1,5,4
경험을,10,4,10,10,10,8,15,8,15,13
계약,12,0,15,6,4,7,8,10,7,4
계약도,1,0,2,1,0,0,0,2,4,3
계약은,5,0,6,4,2,5,4,5,4,2
계약을,5,0,6,4,2,5,4,5,4,2
계열사,2,0,3,4,1,0,3,2,9,5
계획이,1,0,2,1,0,0,0,2,4,3
계획이다.,12,7,16,14,18,21,18,13,22,17
고객,5,1,6,6,4,7,7,9,8,11
고객사,3,0,6,4,3,5,7,2,6,2
고객사가,9,6,9,9,5,10,10,1,9,7
고급,3,5,2,1,2,2,3,4,5,7
고명암비,5,1,4,3,4,1,6,3,5,7
고성능,9,2,9,4,4,6,7,7,8,6
고속,4,0,3,2,2,1,4,4,2,2
고용,1,2,2,2,3,1,2,4,5,2
고출력,38,7,19,15,10,13,10,12,15,18
고효율,5,1,4,3,4,1,6,3,5,7
고휘도,5,1,4,3,4,1,6,3,5,7
곡면,5,1,4,3,4,1,6,3,5,7
골든,5,4,5,5,6,5,6,3,5,4
공개,4,1,5,3,4,3,4,5,8,10
공개가,9,1,9,6,9,6,8,9,14,20
공개는,9,1,9,6,9,6,8,9,14,20
공개되는,5,0,5,3,5,4,5,5,7,10
공개하는,4,1,5,3,4,3,4,5,8,10
공공기관의,2,5,4,2,3,1,2,1,1,1
공급,28,5,29,15,12,22,20,21,21,15
공급망,6,0,4,4,5,7,3,7,4,3
공급키로,7,0,9,2,2,2,4,5,3,2
공급하고,9,2,9,4,4,6,7,7,8,6
공급하는,10,6,13,12,5,10,13,2,12,9
공급하며,5,1,4,3,4,1,6,3,5,7
공급한다.,10,5,12,5,4,5,6,4,4,3
공식,10,5,7,7,12,7,10,6,9,7
공연에는,0,1,0,0,2,2,0,0,1,0
공을,0,0,0,12,2,0,0,0,2,2
공장을,4,0,3,4,2,3,4,2,5,5
공정,13,1,15,14,9,16,23,8,14,6
공정식,0,0,0,30,5,0,0,0,5,5
공정한,1,0,1,2,0,0,1,0,5,1
공학,1,3,0,1,4,3,1,1,5,4
공헌,5,0,4,3,5,6,8,4,5,7
과정에서,3,0,6,4,3,5,7,2,6,2
과학기술정보통신부가,4,1,1,2,3,1,3,2,2,3
관계자는,15,4,17,10,4,14,8,13,8,12
관광,4,1,4,2,4,4,4,7,6,2
관광객,4,1,4,2,4,4,4,7,6,2
관련,11,9,13,8,15,9,17,16,18,15
관련기사,4,0,5,4,1,6,5,1,7,3
관련해,7,4,7,6,7,4,7,6,8,8
관리,5,1,4,3,4,1,6,3,5,7
관리와,1,0,1,2,2,2,3,4,4,8
관리하는,3,1,1,0,0,0,3,1,1,4
관세,12,6,11,7,11,14,11,17,16,11
관심을,14,3,11,6,10,8,11,10,12,9
관심이,4,0,5,4,1,6,5,1,7,3
관중,0,0,0,5,2,0,1,0,1,1
광고,9,3,9,7,8,4,13,10,12,11
광원,30,6,15,12,8,10,8,10,12,14
광저우무역관,6,5,7,3,6,3,5,7,8,9
광주,0,0,1,2,1,1,1,2,1,1
광학,15,11,16,12,11,13,15,8,17,16
괴물,0,1,1,2,2,4,0,2,3,3
교수는,2,3,0,3,3,2,2,3,4,4
교육,4,8,8,6,7,4,6,3,9,7
교육을,1,3,0,1,4,3,1,1,5,4
구광모,5,0,4,3,5,6,8,4,5,7
구글,22,13,20,19,25,16,22,22,38,37
구단의,0,0,0,4,3,0,1,1,1,1
구동,6,0,8,3,0,4,3,3,5,3
구동칩,6,2,4,4,5,4,7,5,7,4
구매할,2,5,4,2,3,1,2,1,1,1
구미,1,2,2,2,3,1,2,4,5,2
구원투수,4,0,5,4,1,6,5,1,7,3
구조,1,0,4,3,0,0,3,1,3,2
구조를,10,0,9,6,10,7,9,9,13,20
구조였다.,1,0,2,1,0,0,0,2,4,3
구조적,7,4,7,6,7,4,7,6,8,8
구축사업,5,0,5,5,3,6,6,3,4,2
구현하는,2,3,0,3,3,2,2,3,4,4
국가,11,6,9,5,12,5,9,10,12,12
국감,7,4,7,6,7,4,7,6,8,8
국내외,8,1,8,6,9,7,11,5,10,5
국민,0,2,0,0,2,0,1,1,2,2
규모,5,1,4,3,4,1,6,3,5,7
규모는,14,5,15,6,8,7,10,10,11,11
규모로,9,2,10,8,0,5,12,7,10,9
규모의,21,0,26,7,6,7,13,13,11,8
규제기관의,1,2,0,0,1,1,0,3,1,2
그것이,2,3,0,3,3,2,2,3,4,4
그는,11,6,5,8,10,10,14,10,14,18
그라운드,0,1,0,0,2,2,0,0,1,0
그래픽,1,2,0,0,1,2,1,1,3,3
그러나,4,3,1,2,2,2,4,3,5,7
그루브,0,1,0,0,2,2,0,0,1,0
그룹,5,0,4,3,5,6,8,4,5,7
그룹의,5,0,4,3,5,6,8,4,5,7
글라스,6,2,4,4,5,4,7,5,7,4
글라스를,4,3,1,2,2,2,4,3,5,7
글래스,3,2,3,3,0,4,3,1,2,2
글래스를,3,2,3,3,0,4,3,1,2,2
금지,3,4,4,5,6,4,6,3,7,6
급격히,6,2,4,4,5,4,7,5,7,4
긍정적,5,0,6,4,2,5,4,5,4,2
기간,4,0,5,4,1,6,5,1,7,3
기기,17,10,13,11,15,11,19,19,24,28
기기가,4,3,1,2,2,2,4,3,5,7
기꺼이,2,8,1,3,2,4,3,2,6,5
기능,7,16,7,6,2,4,6,2,4,6
기능과,3,8,3,3,1,2,3,2,2,3
기능도,1,2,3,3,0,1,1,4,6,5
기능성,3,1,1,0,0,0,3,1,1,4
기능은,4,10,3,3,2,3,3,5,3,5
기능을,9,25,11,8,13,8,8,9,12,13
기능이,1,4,3,4,6,7,1,10,9,12
기대되는,4,1,4,2,4,4,4,7,6,2
기대된다.,4,1,5,4,2,5,4,5,4,3
기대치,4,1,4,2,4,4,4,7,6,2
기록했다.,8,3,6,6,3,8,9,4,12,10
기반,36,10,17,15,15,14,12,12,19,22
기반으로,14,2,14,11,7,13,13,10,13,8
기반의,1,0,0,1,2,0,4,3,2,2
기사,9,1,8,11,6,9,13,7,10,8
기사제휴,3,1,0,0,0,0,3,0,2,5
기술개발과,10,2,10,10,6,12,16,6,8,4
기술격차,3,0,5,4,4,8,4,5,4,2
기술력,5,5,9,8,8,9,9,9,19,16
기술력과,5,0,4,3,5,3,4,4,6,10
기술로,15,4,13,8,9,10,14,12,15,10
기술을,31,9,29,23,19,24,31,23,29,24
기술이,4,3,1,2,2,2,4,3,5,7
기업들이,6,0,4,4,5,7,3,7,4,3
기업으로,13,3,14,8,6,11,11,12,12,9
기업의,5,1,2,2,6,2,4,3,4,3
기업이,0,1,2,2,3,2,1,5,5,7
기업휴지위험담보,1,2,2,2,3,1,2,4,5,2
기업휴지위험담보는,1,2,2,2,3,1,2,4,5,2
기자,19,8,18,52,32,11,27,17,24,27
기자회견을,1,0,1,2,0,0,1,0,5,1
기존,76,24,57,41,34,39,49,50,66,74
기준,1,2,0,0,1,2,1,1,3,3
기준으로,2,0,1,2,0,0,1,0,6,3
기준을,2,0,1,2,0,0,1,0,6,3
기판,9,2,9,4,4,6,7,7,8,6
기회,1,0,0,1,2,0,4,3,2,2
기회를,0,0,0,1,4,0,2,0,1,1
긱벤치,1,2,0,0,1,2,1,1,3,3
김강민,0,0,0,4,0,0,0,0,1,1
김건희,0,0,1,2,1,1,1,2,1,1
김근수,0,0,0,1,4,0,2,0,1,1
김보라,3,1,1,0,0,0,3,1,1,4
김빛나,7,4,7,6,7,4,7,6,8,8
