org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
신작,1,1,2,2,1,3,2,4,2,1,2,0
신청,0,0,0,0,3,1,0,0,1,1,0,0
실적,11,5,9,5,7,2,12,5,2,4,12,1
써밋,1,1,1,1,0,0,1,1,1,1,0,0
아니라,0,3,0,0,1,3,2,1,1,1,3,1
아닌,1,0,1,1,0,2,1,0,0,1,1,0
아래,1,4,1,1,1,1,2,1,2,3,2,0
아이오닉,2,1,2,2,1,2,4,2,1,1,2,0
아이폰,1,8,4,3,4,3,5,4,5,5,4,1
아직,0,1,0,5,1,2,3,1,1,3,1,0
악성,0,1,0,0,0,1,0,1,0,0,0,0
안경,0,5,0,3,5,6,5,2,5,7,2,1
안경에,0,1,0,2,3,4,3,2,2,4,1,1
안영준,0,0,0,0,0,0,0,0,3,2,0,1
안의,1,1,3,3,0,2,2,2,0,1,2,1
안전,0,1,0,0,0,3,2,0,0,1,1,0
앞으로,1,0,1,1,0,2,1,0,0,1,1,0
애니메이션,2,4,4,2,0,2,4,5,0,1,4,0
애플,2,17,9,6,10,7,14,9,10,13,11,1
앱을,0,2,1,0,1,1,1,0,1,2,1,0
앱이,0,1,0,0,0,1,0,1,0,0,0,0
야외에서도,0,1,0,5,1,2,3,1,1,3,1,0
얇은,0,3,0,0,1,0,1,1,1,2,1,0
양산,4,1,1,1,0,0,4,1,0,2,2,1
어제,0,0,0,0,0,0,0,0,1,1,0,0
업계,2,6,6,4,4,5,9,3,4,4,8,2
업그레이드,1,4,1,1,1,1,2,1,2,3,2,0
업데이트,1,0,0,0,5,1,0,1,3,1,1,0
업무,1,2,0,0,4,2,2,2,2,2,3,1
업종,0,1,1,0,1,1,2,0,1,1,1,1
업종에,0,1,1,0,1,1,2,0,1,1,1,1
업체,1,2,1,5,1,1,4,1,2,1,2,0
업체들,2,2,0,0,0,0,1,1,1,1,1,5
에이트,0,0,0,0,0,0,1,1,0,0,0,0
엔씨소프트,3,5,6,4,1,5,6,9,2,2,6,0
엘디티,0,2,0,0,1,6,4,0,1,3,2,0
역시,4,1,4,1,2,1,4,2,0,1,5,1
역임하며,4,1,1,1,0,0,4,1,0,2,2,1
역할,2,4,0,0,0,2,2,2,1,2,1,5
연결,0,0,0,0,0,1,0,0,1,1,0,0
연구개발,4,3,1,0,3,3,2,2,1,4,1,10
연구기관,2,1,0,0,1,1,0,0,0,1,0,5
연구원,1,1,5,3,2,1,5,3,2,2,5,0
연휴,2,0,1,0,6,2,2,3,3,4,0,2
연휴기간,1,0,1,1,0,0,1,1,0,0,1,0
열폭주,1,0,0,0,0,1,1,1,0,1,0,0
영상에서,0,2,1,0,1,1,1,0,1,2,1,0
영업이익,3,3,13,7,3,2,11,5,0,3,15,0
영우디에스피,1,1,2,1,1,2,5,0,0,1,5,1
영향,1,1,2,1,1,2,5,0,0,1,5,1
예방,1,1,0,0,1,4,3,1,1,3,1,0
예술,1,0,1,1,0,2,1,0,0,1,1,0
오디오,1,1,3,3,0,2,2,2,0,1,2,1
오른,0,0,0,0,0,0,1,0,0,1,0,0
오픈,0,0,0,0,0,0,0,1,1,0,0,1
오후,1,0,0,0,0,0,0,1,1,0,1,0
온에어,0,1,0,2,1,2,0,0,2,1,0,0
올랐다.,0,1,1,0,1,0,2,2,1,1,1,1
올해,9,6,10,5,11,7,10,7,9,8,13,0
옵트론텍,0,3,0,0,1,3,2,1,1,1,3,1
왕실,1,1,1,1,0,0,1,1,1,1,0,0
왕야롱,1,2,3,1,4,3,5,3,0,2,5,0
외관,1,1,1,1,0,0,1,1,1,1,0,0
외국인,3,6,6,2,6,5,7,6,5,6,7,2
우리,0,4,0,1,2,2,2,0,3,3,1,0
우승,0,0,0,0,0,0,0,0,5,3,0,2
웃도,1,1,5,3,1,2,4,2,0,1,5,0
원UI,0,2,1,0,1,1,1,0,1,2,1,0
원스톱,1,0,0,0,0,1,1,1,0,1,0,0
원으로,1,1,5,3,1,0,4,2,0,1,5,0
웨어러블,2,4,2,10,4,2,8,2,5,3,4,0
웨이브가이드,1,4,1,3,2,7,5,0,3,6,4,1
웹OS로,1,1,3,3,0,2,2,2,0,1,2,1
위안,7,2,8,2,3,2,10,6,1,3,6,2
위탁생산,0,1,0,2,3,4,3,2,2,4,1,1
위험,0,0,1,1,1,2,1,0,3,2,0,0
유기반도체,1,1,3,2,0,2,3,0,0,0,2,1
유기발광다이오드,5,1,2,1,3,0,3,2,2,1,3,0
유럽,0,0,0,3,2,2,0,0,6,6,0,0
유비리서치,1,3,1,10,2,3,7,2,3,4,3,0
유비리서치에,0,1,0,5,1,2,3,1,1,3,1,0
응답속도,1,1,4,3,1,3,2,1,2,3,2,0
응모,0,0,0,1,0,0,0,0,1,0,0,0
의미,1,1,2,1,1,2,5,0,0,1,5,1
이규석,11,7,0,0,5,7,4,4,4,9,3,30
이날,0,0,0,0,0,0,0,1,2,1,0,1
이는,1,4,3,1,3,0,6,3,1,3,5,0
이달,0,1,0,0,1,1,1,1,1,1,1,0
이대성,0,1,0,0,0,0,0,0,3,2,0,0
이대성도,0,1,0,0,0,0,0,0,3,2,0,0
이동,0,0,0,0,0,0,0,0,2,1,0,1
이를,6,4,1,0,4,5,4,2,2,6,2,15
이번,7,16,7,5,7,25,24,5,13,14,18,7
이벤트,2,1,3,4,1,3,4,6,3,1,3,0
이사회,10,5,3,4,9,5,8,5,5,6,7,1
이상,2,3,0,0,0,1,2,1,1,2,1,5
이선주,2,1,0,1,1,1,0,1,1,0,1,0
이슈,0,1,1,0,1,0,2,2,1,1,1,1
이야기했다.,0,1,0,0,0,0,0,0,3,2,0,0
이용자,0,0,0,0,3,0,0,0,1,1,0,0
이용자들,0,0,0,0,8,2,0,0,3,2,0,0
이원지,1,1,3,1,1,0,3,1,0,1,5,0
이유,1,4,1,1,1,1,2,1,2,3,2,0
이재빈,2,1,0,0,1,1,0,0,0,1,0,5
이재용,5,2,3,1,9,4,5,4,3,7,4,3
이정현,0,0,0,0,0,0,0,0,3,2,0,1
이청,5,2,1,2,4,1,4,2,2,2,2,0
이후,0,3,0,0,2,1,2,2,3,3,1,0
인기,0,0,0,1,0,0,0,0,1,0,0,0
인상,0,0,0,0,1,1,2,1,0,0,0,0
인증,2,0,1,1,0,1,2,2,0,1,1,0
인터페이스,0,0,0,0,3,0,0,0,1,1,0,0
인프라,1,1,3,2,0,2,4,1,0,2,2,1
인플루언서,1,1,2,2,1,3,2,4,2,1,2,0
일본,3,5,6,4,1,5,6,9,2,2,6,0
일부,0,4,1,0,2,1,3,0,2,3,2,1
임직원,1,1,0,0,1,0,1,0,1,1,1,0
임직원들,1,1,0,0,1,0,1,0,1,1,1,0
입생로랑,2,1,0,1,1,1,0,1,1,0,1,0
있는,14,18,11,6,16,15,20,15,14,15,20,7
있다,1,5,5,4,5,6,6,4,9,6,3,1
있다.,38,57,44,38,49,54,77,40,50,64,66,33
있도록,0,3,0,6,13,6,2,2,8,6,2,1
있습니다.,0,3,0,3,7,6,5,4,6,7,3,2
있을,2,1,0,0,1,2,2,0,1,2,1,5
자동차,2,2,0,4,2,2,2,1,1,2,1,0
자동화,1,2,3,1,4,3,5,3,0,2,5,0
자산,0,0,1,1,1,2,1,0,3,2,0,0
자율주행차,0,3,0,0,1,3,2,1,1,1,3,1
자켓,0,1,0,2,1,2,0,0,2,1,0,0
작은,1,4,1,1,1,1,2,1,2,3,2,0
잡포스트,1,1,0,0,1,0,3,0,1,2,1,1
장벽,0,2,0,15,3,3,0,0,2,1,0,0
장비,14,5,16,5,9,4,25,12,3,7,17,5
장애,0,0,0,0,0,0,1,1,0,2,0,0
저작권,1,2,1,2,0,1,4,1,2,2,4,3
적용,2,3,0,0,0,1,2,1,1,2,1,5
적자,2,2,4,2,1,0,4,1,0,1,5,0
전국,0,0,0,0,0,0,1,1,0,2,0,0
전기차,0,1,0,0,1,3,2,0,1,2,1,0
전년,2,2,10,6,2,2,8,4,0,2,10,0
전략,3,2,1,0,9,3,3,4,3,5,3,3
전력,0,1,0,0,0,0,0,0,3,2,0,0
전망,1,1,5,3,1,0,4,2,0,1,5,0
전망이다.,1,2,1,5,3,1,4,1,3,2,2,0
전망입니다.,2,0,1,0,5,1,1,2,1,3,0,2
전면,0,3,0,0,1,0,1,1,1,2,1,0
전북도,0,0,0,0,0,0,1,1,0,2,0,0
전삼노,0,1,0,0,1,1,1,1,1,1,1,0
전시,0,3,1,0,2,3,1,2,3,2,1,0
전자칠판,2,2,3,0,0,8,6,0,2,0,4,0
전작,0,0,0,0,1,1,2,1,0,0,0,0
전했다.,0,4,0,0,2,0,1,1,3,4,1,0
전환,7,7,5,4,6,1,10,4,3,7,8,0
점유율,4,1,4,1,2,1,4,2,0,1,5,1
접는,0,5,1,0,2,1,2,1,2,4,2,0
정관장,0,0,0,0,0,0,0,0,2,1,0,1
정령들,0,0,0,0,0,0,1,1,0,0,0,0
정령킹,0,0,0,0,0,0,1,1,0,0,0,0
정부,4,3,4,2,6,3,6,4,4,4,7,2
정성우,0,0,0,0,0,0,0,0,2,1,0,1
정식,0,0,0,0,0,0,1,1,0,0,0,0
정지훈,1,2,1,2,0,1,4,1,2,2,4,3
정책,0,0,0,0,1,1,2,1,0,0,0,0
정태영,0,3,1,0,2,3,1,2,3,2,1,0
제1회,3,1,0,0,1,3,2,1,1,4,1,10
제도,0,1,0,0,1,1,1,1,1,1,1,0
제시했다.,1,1,5,3,1,2,4,2,0,1,5,0
제트,0,0,0,3,2,2,0,0,6,6,0,0
제품,2,10,3,11,5,15,10,1,7,6,8,1
조직문화,1,1,0,0,1,0,1,0,1,1,1,0
종목에서,0,1,1,0,1,1,2,0,1,1,1,1
좋은,0,1,0,0,0,0,0,0,3,2,0,0
주가,0,0,1,1,1,2,1,0,3,2,0,0
주민등록,0,0,0,0,0,0,1,1,0,2,0,0
주사율,1,1,4,3,1,3,2,1,2,3,2,0
주식,0,0,1,1,1,2,1,0,3,2,0,0
주요,6,4,6,6,7,6,12,6,3,6,6,3
중국,26,15,33,14,28,14,44,28,10,21,38,5
중국인,3,4,4,2,4,4,3,4,3,4,5,0
중심,1,2,1,5,3,1,4,1,3,2,2,0
즐길,1,3,2,1,0,1,2,3,0,1,2,0
증권사들,2,2,4,2,1,0,4,1,0,1,5,0
증시,0,0,0,0,1,1,2,1,2,2,0,0
지금,0,0,0,0,3,1,0,0,1,1,0,0
지금탭,0,0,0,0,2,1,0,0,1,0,0,0
지난,2,9,1,2,8,7,8,5,11,9,8,5
지수,0,1,1,0,1,0,2,2,1,1,1,1
지원,2,4,2,2,1,3,3,1,2,4,3,0
직원,0,1,0,0,0,1,0,1,0,0,0,0
직전거래일,0,1,1,0,1,0,2,2,1,1,1,1
집행부,0,1,0,0,1,1,1,1,1,1,1,0
차량,1,1,3,3,0,2,2,2,0,1,2,1
차량용,21,16,9,6,8,14,18,11,8,17,16,45
차세대,0,3,0,0,1,3,2,1,1,1,3,1
착용감,0,1,0,2,1,2,0,0,2,1,0,0
참여한다.,2,3,5,2,6,3,8,4,0,3,8,0
책은,1,0,1,1,0,2,1,0,0,1,1,0
천지일보,2,1,0,0,1,1,0,0,0,1,0,5
철강,0,0,0,0,1,1,1,1,2,1,0,0
청소,0,0,0,3,2,2,0,0,6,6,0,0
청소기,0,0,0,3,2,2,0,0,6,6,0,0
청주,1,0,1,1,0,0,1,1,0,0,1,0
청파1구역,1,1,1,1,0,0,1,1,1,1,0,0
체험할,1,1,2,1,0,1,2,2,0,0,2,0
총괄,2,1,0,1,1,1,0,1,1,0,1,0
최고,0,0,0,2,1,1,0,0,3,3,0,0
최양묵,2,0,1,0,1,0,0,1,1,2,0,0
최우식,1,1,1,0,0,3,3,0,1,0,2,0
최태원,1,2,0,0,4,2,2,2,2,2,3,1
추가,1,1,2,1,1,2,5,0,0,1,5,1
추석,3,0,2,1,5,1,2,3,1,3,1,2
출품했다.,1,1,2,2,1,3,2,4,2,1,2,0
출하량,0,3,0,1,2,2,2,0,3,4,2,1
충남,1,1,3,2,0,2,3,0,0,0,2,1
충남TP,1,1,3,2,0,2,3,0,0,0,2,1
충칭,1,1,3,1,2,0,5,3,0,1,4,0
충칭시,1,1,3,1,2,0,5,3,0,1,4,0
친구,4,5,4,7,17,4,11,6,11,9,7,2
친구탭,0,2,0,1,6,3,2,2,5,3,2,1
카메라,0,9,0,0,3,3,4,2,3,5,5,1
카카오,1,4,3,2,15,7,5,4,9,7,5,2
카카오톡,0,2,0,1,12,4,2,2,7,5,2,1
캐릭터,1,1,2,1,0,1,2,2,0,0,2,0
커머스,1,2,3,1,3,3,3,2,2,2,3,1
커뮤니티,1,1,1,1,0,0,1,1,1,1,0,0
커버,1,4,1,1,1,1,2,1,2,3,2,0
커스텀,0,0,0,0,0,1,0,0,1,1,0,0
컨센서스,1,1,5,3,1,2,4,2,0,1,5,0
컬렉션,0,1,0,2,1,2,0,0,2,1,0,0
컴투스,1,1,2,2,1,3,2,4,2,1,2,0
코리아,2,1,0,1,1,1,0,1,1,0,1,0
코스피,0,1,1,0,1,0,3,2,1,2,1,1
코스피지수,0,0,0,0,1,1,1,1,2,1,0,0
콕핏,1,1,3,3,0,2,2,2,0,1,2,1
콘텐츠,4,4,8,6,4,7,9,6,3,4,7,2
크게,0,3,0,0,1,3,2,1,1,1,3,1
크기,1,4,1,1,1,1,2,1,2,3,2,0
클라우드,0,0,0,0,0,0,1,1,0,2,0,0
클랩,1,1,3,2,0,2,3,0,0,0,2,1
클레녹스,0,3,0,19,4,3,0,0,3,2,0,0
클린룸,1,1,3,2,0,2,3,0,0,0,2,1
키보드,0,0,0,0,0,1,0,0,1,1,0,0
키엘,2,1,0,1,1,1,0,1,1,0,1,0
키우기,0,0,0,0,0,0,1,1,0,0,0,0
키움증권,2,2,4,2,1,0,4,1,0,1,5,0
키캡,0,0,0,0,0,1,0,0,1,1,0,0
타임,0,0,0,0,1,1,2,1,0,0,0,0
탄력,0,3,0,19,4,3,0,0,3,2,0,0
태블릿,2,2,3,0,0,8,6,0,2,0,4,0
테스트,1,1,0,0,1,0,3,0,1,2,1,1
테크윙,1,1,0,0,1,0,3,0,1,2,1,1
토요타,2,2,0,4,2,2,2,1,1,2,1,0
톰스가이드,0,2,1,0,1,1,1,0,1,2,1,0
통신,0,1,0,0,1,2,1,2,2,1,0,0
통신사,0,1,0,0,0,1,0,1,0,0,0,0
통해,8,11,9,7,9,11,14,11,12,11,10,6
투수,0,0,0,0,0,0,0,0,1,1,0,0
투자,18,8,16,13,17,5,25,13,12,12,16,2
투자심리,0,0,0,0,0,0,1,0,0,1,0,0
투자자,0,0,1,1,1,2,1,0,3,2,0,0
투자자들,0,0,1,1,1,2,1,0,3,2,0,0
트라이폴드,0,3,0,0,0,0,1,0,0,1,1,0
트럼프,0,0,0,0,1,1,2,1,0,0,0,0
트리폴드,0,3,0,0,1,0,1,0,1,2,1,0
트리폴드폰,0,2,1,0,1,1,1,0,1,2,1,0
특허,0,1,0,4,1,0,0,0,1,1,0,0
특히,1,1,2,0,0,5,3,0,1,0,2,0
파운드리,6,6,0,0,3,4,3,3,3,5,2,15
파이낸셜뉴스,0,0,0,0,3,0,0,0,1,1,0,0
파트너,0,1,1,0,2,2,2,2,0,1,2,0
파트너십,0,3,1,0,2,3,1,2,3,2,1,0
판교,1,0,0,0,0,1,0,1,0,2,0,5
패널,8,6,25,13,7,6,23,13,2,9,22,1
팹리스,2,1,0,0,2,1,0,1,0,2,0,5
펼쳤,0,3,0,0,1,0,1,1,1,2,1,0
평가,3,2,2,1,4,3,4,2,2,4,4,1
포럼,10,10,1,0,3,7,8,4,6,8,5,25
포유디지탈,2,2,3,0,0,8,6,0,2,0,4,0
폰세,0,0,0,0,0,0,0,0,1,1,0,0
폴더블,2,9,7,4,5,3,7,4,5,5,7,1
폴더블폰,1,8,4,3,4,3,5,4,5,5,4,1
프라임경제,1,1,5,3,1,2,4,2,0,1,5,0
프랑스,1,1,1,1,0,0,1,1,1,1,0,0
프로,1,2,4,1,3,1,8,5,0,1,6,0
프로그램,2,0,1,0,1,0,0,1,1,2,0,0
프로젝트,1,1,3,1,2,0,5,3,0,1,4,0
프로젝트에,7,2,8,2,3,2,10,6,1,3,6,2
프리미엄,1,3,1,15,5,2,4,1,4,2,2,0
프리퀀시,0,0,0,1,0,0,0,0,1,0,0,0
플랫폼,3,4,8,6,4,8,7,8,4,4,7,2
플렉시블,1,1,3,2,0,2,3,0,0,0,2,1
피드형,0,0,0,0,3,0,0,0,1,1,0,0
피부,0,3,0,24,5,3,0,0,3,3,0,0
피싱,0,1,0,0,0,1,0,1,0,0,0,0
피해,0,1,0,0,0,1,0,1,0,0,0,0
피해자,0,1,0,0,0,1,0,1,0,0,0,0
하드웨어,0,8,0,0,4,3,3,2,5,7,2,0
하반기,6,3,2,2,4,4,7,2,3,2,4,0
학과,0,1,0,1,1,1,1,0,2,2,1,1
한국,6,5,4,4,8,9,8,6,7,8,6,1
한국가스공사,0,0,0,0,0,0,0,1,3,1,0,2
한다,0,1,0,0,0,1,0,1,0,0,0,0
한정,0,0,0,1,0,0,0,0,1,0,0,0
한화,0,0,0,0,0,0,0,0,1,1,0,0
할인된,1,1,2,0,0,5,3,0,1,0,2,0
함께,3,7,2,10,10,7,5,4,4,7,4,5
합작,1,1,2,1,2,0,3,1,0,1,3,0
합작법인,2,3,5,2,6,3,8,4,0,3,8,0
해소,3,2,2,1,4,3,4,2,2,4,4,1
해외,2,0,1,0,5,1,1,2,1,3,0,2
핵심,2,2,4,2,4,1,7,3,0,4,6,0
행사,1,1,0,0,1,0,1,0,1,1,1,0
행정,0,0,0,0,0,0,1,1,0,2,0,0
행정시스템,0,0,0,0,0,0,1,1,0,2,0,0
허웅,0,0,0,0,0,0,0,0,2,1,0,1
허페,13,4,14,4,8,2,20,12,3,6,12,4
허훈,0,0,0,0,0,0,0,0,3,2,0,1
혁신,1,1,3,2,0,2,3,0,0,0,2,1
현대모비스,15,12,1,0,6,10,8,6,8,14,5,41
현대차,2,3,0,0,0,1,2,1,1,2,1,5
현대차증권,2,2,4,2,1,0,4,1,0,1,5,0
현대카드,0,3,1,0,2,3,1,2,3,2,1,0
현장,3,0,1,0,5,2,2,3,1,4,0,2
현장경영,3,2,2,1,4,3,4,2,2,4,4,1
현재,2,4,0,2,1,3,2,1,3,3,1,5
현지,1,1,2,1,0,1,2,2,0,0,2,0
협력,4,6,1,0,4,7,4,3,6,5,3,10
협력사,2,1,2,2,1,2,4,2,1,1,2,0
협업,2,3,0,0,0,1,2,1,1,2,1,5
호남권,1,0,0,0,0,1,1,1,0,1,0,0
호텔에서,1,0,0,0,0,1,0,1,0,2,0,5
호평,0,0,0,1,1,1,0,0,3,3,0,0
혹평,0,0,0,0,3,1,0,0,1,1,0,0
홈케어,0,2,0,14,3,2,0,0,2,2,0,0
화면,1,7,4,3,3,3,4,2,4,7,4,0
화소,0,2,1,0,1,1,1,0,1,2,1,0
화이트아웃,1,0,0,0,0,0,0,1,1,0,1,0
화장품,2,1,0,1,1,1,0,1,1,0,1,0
화재,1,2,0,0,1,7,5,1,1,4,2,0
화재로,0,0,0,0,0,0,1,1,0,2,0,0
확대,4,1,4,1,2,1,4,2,0,1,5,1
확대될,2,4,2,10,4,2,8,2,5,3,4,0
확대에,4,1,4,1,2,1,4,2,0,1,5,1
환율,0,0,0,0,0,0,1,0,0,1,0,0
활동,3,1,3,3,1,4,5,2,1,2,3,0
회사,1,2,0,0,2,1,2,1,2,2,2,0
회장,6,4,3,1,13,6,7,6,5,9,7,4
효과,1,3,0,19,4,3,0,1,4,2,1,0
효과적인,0,1,0,4,1,0,0,0,1,1,0,0
효율,0,1,0,5,1,2,3,1,1,3,1,0
흑자,5,2,1,2,4,1,4,2,2,2,2,0
흡입력,0,0,0,2,1,1,0,0,3,3,0,0
힐튼,1,0,0,0,0,1,0,1,0,2,0,5
