org,topic_0,topic_1,topic_10,topic_100,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_3,topic_30,topic_31,topic_32,topic_33,topic_34,topic_36,topic_37,topic_38,topic_39,topic_4,topic_40,topic_41,topic_42,topic_46,topic_47,topic_48,topic_5,topic_50,topic_51,topic_52,topic_53,topic_55,topic_56,topic_57,topic_58,topic_59,topic_6,topic_60,topic_62,topic_63,topic_64,topic_65,topic_66,topic_67,topic_68,topic_7,topic_70,topic_72,topic_73,topic_74,topic_75,topic_77,topic_78,topic_79,topic_8,topic_81,topic_82,topic_83,topic_84,topic_85,topic_87,topic_88,topic_89,topic_9,topic_90,topic_91,topic_92,topic_93,topic_94,topic_95,topic_96
마이크로소프트,198.93 (1%),,139.65 (1%),,,,,,144.29 (3%),,,,111.51 (2%),115.51 (2%),,,,,119.42 (3%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.36 (3%),132.66 (2%),,,,,,,,,,,,,
메타,273.10 (2%),,203.88 (2%),,,,176.37 (7%),,,,,,,,,,,165.30 (2%),,,,,,,,,,,,,,,,,,163.31 (7%),,,,,,,,257.99 (5%),,,,,,,,,,,,,,194.96 (3%),,,,,,,,,,,180.84 (2%),,,,,,,,,,,,,
미디어텍,30.50 (0%),,19.55 (0%),,,,,,,,19.14 (0%),,,,,,,17.59 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.85 (0%),,,,,,,,29.33 (0%),20.86 (0%),,,,,16.88 (0%),,,,,,,
바이두,6.93 (0%),,5.59 (0%),,,,,,,,5.15 (0%),,,,,,,4.92 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08 (0%),,,,,,,,,,,,,,,4.35 (0%),,,,,,,,,5.76 (0%),,,,,,,,5.00 (0%),,,,
벤츠,38.12 (0%),,25.14 (0%),,,,,,,,,,,,,,,25.32 (0%),,,,,,,,,,,,22.36 (1%),,,,,,,21.91 (1%),,,,,,,,,,,,,,,,,,,,,,,,28.27 (0%),,,,,27.58 (1%),,,,28.06 (0%),,,,,,,,,,,,
비보,75.55 (0%),,,,47.11 (1%),,,,,,,,,,,,58.59 (1%),,,,,43.05 (1%),,,,,,77.50 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.64 (0%),48.97 (1%),,,,,,,,46.04 (0%),,,,,,,,,,,,
삼성디스플레이,1579.46 (9%),,914.48 (8%),,,1060.20 (18%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992.64 (14%),,,,,,,,,,,,1206.43 (10%),919.58 (10%),,,,,,,,1165.87 (10%),,,,,,,,,,,,874.37 (11%)
삼성전자,4661.66 (12%),,3318.98 (14%),,,,,,,,,,,,,,,2721.17 (14%),,,3288.09 (16%),,,,,,,,,,2683.66 (33%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2681.03 (11%),,,,,,,,2677.13 (16%),2635.91 (11%),,,,,,,,,,,,
샤오미,276.57 (2%),,,,,,,,,,,,,,,,133.02 (2%),,,,199.35 (2%),,,,,,,145.89 (2%),,,,,,,,,,,,,,,166.22 (7%),,,,,,,,,,,,,,,,,,224.72 (2%),117.23 (1%),,,,,,,,202.87 (2%),,,,,,,,,,,,
샤오펑,27.03 (0%),,,,,,,,,,,,17.27 (0%),,,,,,,,21.75 (0%),,,,,,,,,,,,,,,,,,,,,,19.15 (1%),,,,,,,,,,,,,,,,,,21.02 (0%),,,,,19.92 (1%),,,15.36 (0%),21.58 (0%),,,,,,,,,,,,
