org,topic_0,topic_1,topic_101,topic_102,topic_11,topic_12,topic_13,topic_14,topic_17,topic_18,topic_19,topic_2,topic_20,topic_21,topic_22,topic_23,topic_25,topic_26,topic_27,topic_28,topic_29,topic_3,topic_30,topic_32,topic_33,topic_35,topic_36,topic_37,topic_38,topic_4,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_49,topic_5,topic_50,topic_51,topic_53,topic_54,topic_55,topic_56,topic_57,topic_58,topic_59,topic_6,topic_60,topic_61,topic_63,topic_64,topic_65,topic_66,topic_67,topic_68,topic_69,topic_7,topic_70,topic_71,topic_72,topic_73,topic_74,topic_75,topic_76,topic_77,topic_78,topic_79,topic_8,topic_80,topic_81,topic_84,topic_85,topic_86,topic_88,topic_89,topic_9,topic_90,topic_92,topic_93,topic_94,topic_96,topic_97,topic_98,topic_99
Semiconductor,41.59 (0%),20.71 (0%),,27.13 (0%),37.01 (0%),25.18 (0%),,,,,,,,,,,,,29.33 (0%),,,,,,,,,,19.27 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.25 (0%),,,,,,,,
TCL,487.28 (2%),524.78 (4%),,,199.70 (2%),,,,,,,256.32 (6%),,,,,,,,,,531.63 (5%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.80 (3%),,,,355.22 (4%),,,,,,,,,,,314.06 (7%),,,,,,,,,
TSMC,170.51 (1%),,,78.54 (1%),110.32 (1%),126.61 (2%),,,,,,,,,,,75.82 (1%),,90.77 (1%),,,,,,,,,,84.64 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.59 (1%),,,,,,,,
Tianma,58.92 (0%),67.11 (0%),,,32.12 (0%),,,,,,,,,,,,,,,,,32.37 (0%),,,,,33.09 (0%),,,,,,,,,,,,,30.90 (0%),,,,,,,,,,,,,,,38.85 (0%),,,,,,,34.07 (0%),,,,,,,,,,,,,,,,,,,,,,,,
Toray,9.01 (0%),7.85 (0%),,7.85 (0%),8.38 (0%),,6.52 (0%),,,,,,,,,,,,7.68 (0%),,,,,,,,,,,,,,,,,,,,,6.78 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.44 (0%),,,,,,,,
UDC,25.65 (0%),20.71 (0%),,,17.46 (0%),,13.77 (0%),,,,,,,,,,,,,,,,,,,,12.95 (0%),,,,,,,,,,,,,16.58 (0%),,,,,,,,,,,,,,,12.95 (0%),,,,,,,15.22 (0%),,,,,,,,,,,,,,,,,,,,,,,,
UL,61.00 (0%),48.55 (0%),,,35.61 (0%),,,,,,,,,,,,,,27.23 (0%),,,52.52 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,41.01 (1%),,,,,,,,,,,,,31.17 (0%),,,,29.54 (0%),,,,,,,,,,,,,,,,,,,,
V2X,79.71 (0%),60.69 (0%),,,53.76 (0%),45.32 (1%),,,,,,,,,,,,,39.80 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.57 (0%),,,,,,,,,,,,,,,,,,,,,,,46.42 (1%),,,,,,,42.62 (2%),
Visionox,88.72 (0%),103.53 (1%),,,56.56 (0%),,55.82 (1%),,,,,,,,,,,,,,,,,,,,56.83 (1%),,,,,,,,,,,,,65.58 (1%),,,,,,,,,,,,,,,64.75 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,52.68 (1%),,,,,
구글,679.05 (3%),,,,308.77 (2%),,,563.36 (19%),,,,,,,,,,,,,,,,331.37 (6%),,308.54 (5%),,,444.41 (5%),,,,,,,,,,,,,,,,,476.99 (18%),,,,,,,,363.02 (6%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기아,238.44 (1%),152.79 (1%),,,212.96 (2%),,,,,,,,,,,,,,189.22 (2%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.99 (3%),,,,,,,,,,,,,,,,,,,,125.11 (4%),,,,,,,,228.61 (3%),,,,,132.36 (3%),,,
기아자동차,17.33 (0%),16.42 (0%),,,11.87 (0%),,,,,,,,,,,10.71 (0%),,,11.17 (0%),,,10.07 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.36 (0%),,,,,,,,19.70 (0%),,,,,,,,
기아차,,5.00 (0%),,,,,,,,,,,,,3.65 (0%),,,,4.19 (0%),,,,,,,,,,,,,2.99 (0%),,,,,,3.74 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.86 (0%),,,,,,,,,2.97 (0%),,,,,,2.99 (0%),
네이버,325.78 (2%),180.64 (1%),,,169.67 (1%),135.97 (2%),,,,,,,,,,,,,,,,145.32 (1%),,142.80 (3%),,145.26 (3%),,,200.94 (2%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
니오,6.93 (0%),7.14 (0%),,4.28 (0%),,,,,,,,,,,,4.28 (0%),,,,,,4.32 (0%),,,,,,,,3.74 (0%),,,,,,,,,,,,,,,,,,,,,,,,3.71 (0%),,,,,,,,,,,,,,,,4.63 (0%),,,,,,,,,,,,,,,,
도우인시스,4.85 (0%),5.71 (0%),,,6.98 (0%),,,,,,,,,,,,,,2.79 (0%),,,,,,,,,,,,,,,,,,,,,4.52 (0%),,,,,,,,,,,,,,,,3.52 (0%),,,,,,3.62 (0%),,,,,,,,,,3.71 (0%),,,,,,,,,,,,,,
두산로보틱스,36.74 (0%),27.85 (0%),,31.42 (1%),50.97 (0%),,,,,,,,,,,,,,37.01 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.15 (6%),,,,,53.46 (1%),,,,,29.16 (1%),,,
디지타임스,17.33 (0%),12.14 (0%),,,9.08 (0%),,7.25 (0%),,,,,,,,,,,,,,,,,,,7.85 (0%),,,,,,,,,,8.16 (0%),,,,12.06 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23 (0%),,
딥엑스,2.08 (0%),,,,1.40 (0%),,,,,,,,,1.42 (0%),,,,,,,,,,,,,,,1.38 (0%),,,,,1.48 (0%),,,,,,,,,,,,,,0.85 (0%),,,,,,,,,,,,,,,,,,,,,,,0.91 (0%),,,,0.86 (0%),,,,,,,,,,,
레노버,52.68 (0%),35.70 (0%),,,,,,,,25.77 (0%),30.86 (2%),,,,,,,,,,,,,,,,,,,,26.69 (2%),,,,,,,,,24.87 (0%),,,,,,,,,,,,,,,,,,,45.26 (1%),,,,,,,,,,,,158.78 (7%),,,,,,,,,,,,,,,
리벨리온,16.64 (0%),,,,11.17 (0%),8.63 (0%),,,,,,,,,,,,,9.08 (0%),,,,,,,,,,9.63 (0%),8.97 (0%),,,,,,,9.42 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.90 (0%),,,,,,,
리오토,6.24 (0%),7.14 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.52 (0%),,,3.77 (0%),,,,,,,,,,,,,,,,,,,,,,,,4.56 (0%),,4.22 (0%),,,,3.86 (0%),,,,,,,,,5.94 (0%),,,,,,,
마이크로소프트,384.22 (2%),183.63 (1%),,,200.08 (1%),,,,,,,,,,,177.76 (3%),268.01 (4%),,,,,,,202.92 (3%),,,,,248.91 (2%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.69 (2%),,,,,,,,,,,,,,,,,,,,
메타,459.26 (2%),,,,249.35 (2%),,,202.45 (7%),,,,,,,,,200.61 (3%),,,,,,,189.07 (3%),,,,,293.38 (3%),,,,,,,,,,,,,,,,,188.08 (7%),,,,,,,,303.27 (5%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
