org,topic_0,topic_1,topic_10,topic_100,topic_101,topic_102,topic_103,topic_104,topic_109,topic_11,topic_110,topic_111,topic_112,topic_113,topic_114,topic_118,topic_12,topic_122,topic_123,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_2,topic_20,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_3,topic_30,topic_31,topic_33,topic_34,topic_35,topic_37,topic_38,topic_39,topic_4,topic_40,topic_41,topic_42,topic_43,topic_46,topic_47,topic_48,topic_5,topic_50,topic_51,topic_52,topic_54,topic_55,topic_56,topic_57,topic_58,topic_61,topic_62,topic_68,topic_69,topic_70,topic_72,topic_73,topic_75,topic_76,topic_77,topic_78,topic_79,topic_8,topic_80,topic_81,topic_83,topic_84,topic_87,topic_89,topic_9,topic_91,topic_95,topic_99
미디어텍,50.93 (0%),20.69 (0%),21.64 (0%),,,,20.94 (0%),,,,,,,,,,23.57 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.78 (0%),,,,,20.54 (0%),,,,,,,,,,,,,,,,,,,,,,26.06 (0%),,,
바이두,11.70 (0%),,,,,,,,,,,,,,,,6.24 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,8.14 (0%),,,,,7.13 (0%),,,,,6.88 (0%),,,,,,,,,,,,,,,,,,6.61 (0%),,,,,,,,6.19 (0%),7.24 (0%),,,
벤츠,73.65 (0%),39.95 (0%),,,,,,,,,,,,,,,32.58 (0%),,,,,,,,,,,,,,,46.03 (2%),,37.37 (0%),,,,,,,,,,,,,,,,,,,,,35.10 (0%),,,,,,,,,,,,55.02 (1%),,,,,,,,,,,,,,,,,,56.88 (9%)
비보,77.09 (0%),61.35 (0%),,,,,,,,,,,,,,,,,,,,,,,,,54.55 (1%),,,55.98 (1%),,,,53.89 (0%),,,,,,,,62.29 (1%),,,,,,,78.34 (1%),,,,,,,,,,60.90 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,
삼성디스플레이,1908.64 (7%),1498.03 (9%),,,,,,,,,,,,,,1152.33 (10%),1042.94 (7%),,1019.27 (10%),,,,,,,,,,1161.47 (16%),,,,,1155.18 (9%),,,,,,,,,,,,,,,,,,,,,,,,,1113.87 (13%),,,,,,,,,,,,,,,,,,,,,,,,,,
삼성전자,3901.86 (14%),1852.57 (12%),,,,,,,,,,,,,,,2018.44 (14%),,,,,,,,,1540.50 (17%),,,,,,,,,,,,,,,,,,,,,,,,,2201.77 (25%),,,,2135.05 (15%),,,,,1647.95 (13%),,,,,,,,,,,,,,,,,,,,,1552.07 (16%),,,,
샤오미,651.85 (1%),498.31 (2%),,,,,,,,,,429.71 (8%),,,,334.29 (2%),,,,,,,,,,374.41 (2%),,,,,,,643.79 (8%),,,,,,,,,,,,,,,,,,,,,,,,,,,396.00 (2%),,,,,,,,,,,,,352.90 (3%),,,,,,,,,,,,
샤오펑,31.66 (0%),18.55 (0%),,,,,,,,,,18.65 (1%),,,,,,,,,16.64 (0%),,,,,,,,,,,28.77 (1%),,,,,,,,,,,,,,,,,,,,,,,16.52 (0%),,,,,,,,,,,,,,,17.16 (0%),,,,,,,,,,,19.96 (0%),,,,
샤프,49.56 (0%),59.21 (0%),,,,,,,,,,,,,,36.20 (0%),,,30.63 (0%),,,,,,,34.75 (0%),,,,,,,,31.62 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,41.78 (0%),,,,,,,,,,,,,31.60 (0%),,,,,,,,,,,,
선익시스템,59.19 (0%),49.22 (0%),,,,,,,,,,,,,,39.82 (0%),57.53 (0%),,31.36 (0%),,,,,,,,,,,,,,,43.12 (0%),,,,,,,,,35.01 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.82 (0%),,,,,,,,
