org,topic_0,topic_1,topic_10,topic_100,topic_102,topic_103,topic_11,topic_12,topic_13,topic_14,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_25,topic_26,topic_27,topic_28,topic_29,topic_3,topic_30,topic_31,topic_33,topic_34,topic_36,topic_37,topic_38,topic_4,topic_40,topic_41,topic_42,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_5,topic_51,topic_52,topic_53,topic_54,topic_56,topic_57,topic_59,topic_6,topic_60,topic_61,topic_62,topic_63,topic_64,topic_65,topic_66,topic_68,topic_69,topic_7,topic_70,topic_71,topic_73,topic_74,topic_75,topic_76,topic_77,topic_78,topic_8,topic_80,topic_81,topic_84,topic_85,topic_86,topic_87,topic_88,topic_89,topic_9,topic_90,topic_91,topic_92,topic_93,topic_94,topic_95,topic_96,topic_98,topic_99
바이두,6.93 (0%),,5.59 (0%),,,,5.15 (0%),,,,,,,,,,,,,,4.89 (0%),,,,,,,,4.35 (0%),,,,,,,,,,,,,,,,,,5.71 (0%),,,,,,,6.08 (0%),,,,,,,,,,,,,,,5.07 (0%),,,,,,,,,,,,,,,,,,
벤츠,39.51 (0%),,25.14 (0%),,29.16 (1%),,,,,,,,,,,,,,,,25.14 (0%),,,,,,,,30.45 (0%),,,,,,,,,,,,,,,,,,24.99 (0%),,,,,,,,,,,,,38.15 (1%),,,,,,,,,,,,,,,,,24.65 (0%),,,,,,,,,,
비보,84.56 (0%),,,,,,,,,50.85 (1%),,,,,,,,,,,,,,,,,,,67.42 (1%),56.69 (1%),78.65 (2%),,43.92 (1%),,,,,,,,,,,,,,47.84 (0%),,,,,,,,,,,,,,,,,,,46.75 (1%),,,,,,,,,,,,,,,,,,,,,
삼성디스플레이,1555.23 (8%),,885.71 (8%),,,,,,,915.96 (10%),1023.97 (18%),,,,,,,,,,,,,,,,,,1410.19 (11%),,,,,,,,,,,,,,,,,,1070.16 (10%),,,,,,,,,949.20 (14%),,,,,,,,,,871.02 (11%),,,,,,,,,,,,,,,,,,,,,
삼성전자,2558.41 (14%),,1593.38 (14%),,,,,,,,,,,,,,,,,,1299.42 (14%),,,1272.02 (33%),,,,,1406.30 (11%),,,,,,,,,,,,,,,,,,1242.33 (11%),,,,,,,,,,,,,,,,,,,,,,1368.60 (17%),,,,,,,1245.37 (13%),,,,,,,,,,,
샤오미,304.29 (2%),,,,,,,,,129.37 (1%),,,,,,,,,,,,,,,,,,,234.87 (2%),,131.60 (3%),,,,,,,,,,,,,,,,209.91 (2%),,,,,,,,,,,,166.22 (7%),,,,,,,,,,181.22 (2%),,,,,,,208.77 (2%),,,,,,,,,,,
샤오펑,28.42 (0%),,,,,,,,,,,17.27 (0%),,,,,,,,,,,,,,,,,21.02 (0%),,,,,,,,,,,,,,,,,,22.13 (0%),,,,,,,,,,,,19.15 (1%),24.14 (1%),,,,,,,16.18 (0%),,16.67 (0%),,,,,,,,,,,,,,,,,,
샤프,47.13 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,50.74 (0%),,,,,,,,,,,,,,,,,,41.41 (0%),,,,,,,,,,,,,,,,26.82 (0%),,,29.22 (0%),,,36.24 (0%),,,,,,,49.29 (1%),38.42 (0%),,,,,,,,,,
선익시스템,49.21 (0%),,53.76 (0%),,,,,,35.52 (1%),35.89 (0%),,,,,,,,,,,33.52 (0%),,,,,,,,44.94 (0%),,,,,,,,,,,,,,,,,,29.27 (0%),,,,,,,,,,,,,,,,,,,29.22 (0%),,,,,,,,,,,,,,,,,,,,,
세미파이브,7.62 (0%),,,,,,7.36 (0%),,,5.23 (0%),,,,,,,,,,,,,,,,,6.03 (0%),,,,,,,,,,,,,,,,,,,4.49 (0%),,4.89 (0%),,,,,,,,,,,,,,,,,,,9.14 (0%),5.41 (0%),,,,,,,,,,,,,,,,,,,
소니,93.57 (1%),,40.50 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,79.01 (1%),,,,,,,,,,,,,,,,,,69.97 (1%),,,,,,,,,,,,,,,,,,,,,,62.34 (1%),,,,,,42.84 (1%),64.52 (1%),47.84 (1%),,,,,,,,,,
아마존,108.82 (1%),,83.79 (1%),,,,70.67 (1%),,,,,,,,,,,,,,69.13 (1%),75.54 (2%),,,,,,,,,,,,,,,,145.82 (2%),,,,,,,,,63.54 (1%),77.50 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아이씨디,27.03 (0%),,46.78 (0%),,,,,,20.30 (0%),,,,,,,,,,,,23.74 (0%),,19.57 (0%),,,,,,21.02 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.18 (0%),,,,,,,,,,,29.54 (0%),,,,,,,,,
알파벳,66.54 (0%),,64.24 (1%),,,,57.42 (1%),,,,,,,,,,,,,,46.08 (0%),53.24 (1%),,,,,,,,,,,,,,,,145.07 (2%),,,,,,,,,,61.44 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.66 (2%),,,,,,
애플,1784.16 (10%),,,,,,,,,855.49 (9%),,,,,,,,1049.54 (28%),,,,,,,,,,,1065.60 (8%),1382.22 (27%),,,,,,,,,,,,,,,,,827.50 (7%),,,,,1147.13 (22%),,,,795.55 (12%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엔비디아,832.00 (2%),,659.54 (3%),,,,689.29 (5%),,,,,,,,,,,,,,488.17 (3%),,,,,,,,,,,,,,,,,706.36 (6%),,,,,,,,530.54 (5%),,531.38 (4%),,,,,,,,,,,,,,,,,,,542.56 (4%),,,,,,,,,,,,,,,,,,,,
오포,104.67 (1%),,,,,,,,,53.84 (1%),,,,,,,,,,,,,,,,,,,82.64 (1%),60.69 (1%),63.07 (2%),,56.69 (2%),,,,,,,,,,,,,,65.69 (1%),,,,,,,,,55.47 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
